Replicate,Day,Treatment,Female_Mortality,Insemination,Mycosis,Male_hpi
Replicate1,6,RFP,4,2,2,24
Replicate1,6,Hybrid,6,4,3,24
Replicate1,6,Control,0,0,0,24
Replicate1,7,Control,1,1,0,24
Replicate1,7,Hybrid,7,5,3,24
Replicate1,7,RFP,1,0,1,24
Replicate1,8,RFP,4,3,3,24
Replicate1,8,Control,1,0,0,24
Replicate1,8,Hybrid,10,6,5,24
Replicate1,9,Control,0,0,0,24
Replicate1,9,RFP,4,3,3,24
Replicate1,9,Hybrid,1,1,1,24
Replicate1,10,Control,0,0,0,24
Replicate1,10,RFP,1,0,0,24
Replicate1,10,Hybrid,1,1,0,24
Replicate1,11,Control,3,3,0,24
Replicate1,11,RFP,5,4,3,24
Replicate1,11,Hybrid,0,0,0,24
Replicate1,12,Control,2,2,0,24
Replicate1,12,RFP,1,1,1,24
Replicate1,12,Hybrid,0,0,0,24
Replicate1,13,Control,3,1,0,24
Replicate1,13,RFP,0,0,0,24
Replicate1,13,Hybrid,0,0,0,24
Replicate1,14,Control,0,0,0,24
Replicate1,14,RFP,2,1,1,24
Replicate1,14,Hybrid,0,0,0,24
Replicate1,Alive,Control,38,35,0,24
Replicate1,Alive,RFP,25,18,0,24
Replicate1,Alive,Hybrid,16,11,0,24
Replicate2,2,Hybrid,3,2,1,24
Replicate2,2,Control,0,0,0,24
Replicate2,2,RFP,0,0,0,24
Replicate2,3,Control,2,2,0,24
Replicate2,3,Hybrid,0,0,0,24
Replicate2,3,RFP,2,2,2,24
Replicate2,4,Control,1,0,0,24
Replicate2,4,Hybrid,0,0,0,24
Replicate2,4,RFP,0,0,0,24
Replicate2,5,Hybrid,5,2,2,24
Replicate2,5,RFP,1,1,1,24
Replicate2,5,Control,1,1,0,24
Replicate2,6,RFP,3,2,2,24
Replicate2,6,Hybrid,8,4,5,24
Replicate2,6,Control,0,0,0,24
Replicate2,7,Control,0,0,0,24
Replicate2,7,Hybrid,0,0,0,24
Replicate2,7,RFP,4,2,2,24
Replicate2,8,RFP,3,3,3,24
Replicate2,8,Control,1,0,0,24
Replicate2,8,Hybrid,7,5,5,24
Replicate2,9,Control,2,2,0,24
Replicate2,9,RFP,2,2,1,24
Replicate2,9,Hybrid,1,0,0,24
Replicate2,10,Control,0,0,0,24
Replicate2,10,RFP,3,2,2,24
Replicate2,10,Hybrid,4,4,3,24
Replicate2,11,Control,0,0,0,24
Replicate2,11,RFP,2,2,2,24
Replicate2,11,Hybrid,1,1,1,24
Replicate2,12,Control,3,3,0,24
Replicate2,12,RFP,4,4,4,24
Replicate2,12,Hybrid,1,1,1,24
Replicate2,13,Control,0,0,0,24
Replicate2,13,RFP,0,0,0,24
Replicate2,13,Hybrid,1,1,1,24
Replicate2,14,Control,0,0,0,24
Replicate2,14,RFP,0,0,0,24
Replicate2,14,Hybrid,1,1,1,24
Replicate2,Alive,Control,40,36,0,24
Replicate2,Alive,RFP,26,17,0,24
Replicate2,Alive,Hybrid,19,10,0,24
Replicate3,2,Hybrid,1,1,1,24
Replicate3,2,Control,1,1,0,24
Replicate3,2,RFP,0,0,0,24
Replicate3,3,Control,1,1,0,24
Replicate3,3,Hybrid,2,1,1,24
Replicate3,3,RFP,0,0,0,24
Replicate3,4,Control,0,0,0,24
Replicate3,4,Hybrid,4,3,3,24
Replicate3,4,RFP,1,1,1,24
Replicate3,5,Hybrid,0,0,0,24
Replicate3,5,RFP,5,4,2,24
Replicate3,5,Control,1,0,0,24
Replicate3,6,RFP,5,4,4,24
Replicate3,6,Hybrid,8,4,4,24
Replicate3,6,Control,0,0,0,24
Replicate3,7,Control,1,1,0,24
Replicate3,7,Hybrid,7,5,5,24
Replicate3,7,RFP,2,2,2,24
Replicate3,8,RFP,3,2,1,24
Replicate3,8,Control,0,0,0,24
Replicate3,8,Hybrid,9,6,5,24
Replicate3,9,Control,0,0,0,24
Replicate3,9,RFP,0,0,0,24
Replicate3,9,Hybrid,1,1,1,24
Replicate3,10,Control,0,0,0,24
Replicate3,10,RFP,6,4,3,24
Replicate3,10,Hybrid,3,0,2,24
Replicate3,11,Control,0,0,0,24
Replicate3,11,RFP,0,0,0,24
Replicate3,11,Hybrid,2,1,1,24
Replicate3,12,Control,0,0,0,24
Replicate3,12,RFP,0,0,0,24
Replicate3,12,Hybrid,0,0,0,24
Replicate3,13,Control,1,1,0,24
Replicate3,13,RFP,1,0,0,24
Replicate3,13,Hybrid,0,0,0,24
Replicate3,14,Control,2,1,0,24
Replicate3,14,RFP,0,0,0,24
Replicate3,14,Hybrid,0,0,0,24
Replicate3,Alive,Control,43,40,0,24
Replicate3,Alive,RFP,27,21,0,24
Replicate3,Alive,Hybrid,13,11,0,24
Replicate1,2,Hybrid,1,1,0,48
Replicate1,2,Control,0,0,0,48
Replicate1,2,RFP,0,0,0,48
Replicate1,3,Control,0,0,0,48
Replicate1,3,Hybrid,1,1,1,48
Replicate1,3,RFP,0,0,0,48
Replicate1,4,Control,1,0,0,48
Replicate1,4,Hybrid,3,3,2,48
Replicate1,4,RFP,2,1,1,48
Replicate1,5,Hybrid,4,2,3,48
Replicate1,5,RFP,1,1,0,48
Replicate1,5,Control,1,1,0,48
Replicate1,6,RFP,0,0,0,48
Replicate1,6,Hybrid,4,1,1,48
Replicate1,6,Control,0,0,0,48
Replicate1,7,Control,1,1,0,48
Replicate1,7,Hybrid,2,2,2,48
Replicate1,7,RFP,3,2,2,48
Replicate1,8,RFP,4,2,4,48
Replicate1,8,Control,1,1,0,48
Replicate1,8,Hybrid,0,0,0,48
Replicate1,9,Control,0,0,0,48
Replicate1,9,RFP,3,2,2,48
Replicate1,9,Hybrid,1,0,0,48
Replicate1,10,Control,0,0,0,48
Replicate1,10,RFP,2,2,2,48
Replicate1,10,Hybrid,1,0,0,48
Replicate1,11,Control,0,0,0,48
Replicate1,11,RFP,4,2,2,48
Replicate1,11,Hybrid,2,0,2,48
Replicate1,12,Control,3,3,0,48
Replicate1,12,RFP,1,1,1,48
Replicate1,12,Hybrid,0,0,0,48
Replicate1,13,Control,3,3,0,48
Replicate1,13,RFP,2,2,2,48
Replicate1,13,Hybrid,0,0,0,48
Replicate1,14,Control,1,1,0,48
Replicate1,14,RFP,1,1,1,48
Replicate1,14,Hybrid,0,0,0,48
Replicate1,Alive,Control,39,31,0,48
Replicate1,Alive,RFP,27,23,0,48
Replicate1,Alive,Hybrid,31,16,0,48
Replicate2,2,Hybrid,0,0,0,48
Replicate2,2,Control,2,2,0,48
Replicate2,2,RFP,1,1,0,48
Replicate2,3,Control,0,0,0,48
Replicate2,3,Hybrid,3,1,2,48
Replicate2,3,RFP,0,0,0,48
Replicate2,4,Control,0,0,0,48
Replicate2,4,Hybrid,1,1,1,48
Replicate2,4,RFP,0,0,0,48
Replicate2,5,Hybrid,0,0,0,48
Replicate2,5,RFP,2,2,1,48
Replicate2,5,Control,1,1,0,48
Replicate2,6,RFP,0,0,0,48
Replicate2,6,Hybrid,5,5,4,48
Replicate2,6,Control,1,1,0,48
Replicate2,7,Control,3,2,0,48
Replicate2,7,Hybrid,0,0,0,48
Replicate2,7,RFP,0,0,0,48
Replicate2,8,RFP,1,1,1,48
Replicate2,8,Control,1,1,0,48
Replicate2,8,Hybrid,2,2,2,48
Replicate2,9,Control,2,1,0,48
Replicate2,9,RFP,0,0,0,48
Replicate2,9,Hybrid,5,5,5,48
Replicate2,10,Control,0,0,0,48
Replicate2,10,RFP,6,4,5,48
Replicate2,10,Hybrid,4,0,0,48
Replicate2,11,Control,0,0,0,48
Replicate2,11,RFP,1,1,1,48
Replicate2,11,Hybrid,0,0,0,48
Replicate2,12,Control,0,0,0,48
Replicate2,12,RFP,4,0,0,48
Replicate2,12,Hybrid,0,0,0,48
Replicate2,13,Control,1,1,0,48
Replicate2,13,RFP,5,2,2,48
Replicate2,13,Hybrid,1,1,0,48
Replicate2,14,Control,2,2,0,48
Replicate2,14,RFP,0,0,0,48
Replicate2,14,Hybrid,0,0,0,48
Replicate2,Alive,Control,37,34,0,48
Replicate2,Alive,RFP,30,26,0,48
Replicate2,Alive,Hybrid,29,17,0,48
Replicate3,2,Hybrid,2,1,1,48
Replicate3,2,Control,0,0,0,48
Replicate3,2,RFP,0,0,0,48
Replicate3,3,Control,2,2,0,48
Replicate3,3,Hybrid,1,1,0,48
Replicate3,3,RFP,3,2,0,48
Replicate3,4,Control,0,0,0,48
Replicate3,4,Hybrid,1,0,0,48
Replicate3,4,RFP,0,0,0,48
Replicate3,5,Hybrid,3,2,1,48
Replicate3,5,RFP,0,0,0,48
Replicate3,5,Control,1,1,0,48
Replicate3,6,RFP,4,0,0,48
Replicate3,6,Hybrid,0,0,0,48
Replicate3,6,Control,0,0,0,48
Replicate3,7,Control,1,1,0,48
Replicate3,7,Hybrid,4,4,4,48
Replicate3,7,RFP,3,2,1,48
Replicate3,8,RFP,0,0,0,48
Replicate3,8,Control,3,3,0,48
Replicate3,8,Hybrid,4,2,2,48
Replicate3,9,Control,2,1,0,48
Replicate3,9,RFP,9,6,4,48
Replicate3,9,Hybrid,1,0,0,48
Replicate3,10,Control,0,0,0,48
Replicate3,10,RFP,0,0,0,48
Replicate3,10,Hybrid,0,0,0,48
Replicate3,11,Control,6,5,0,48
Replicate3,11,RFP,0,0,0,48
Replicate3,11,Hybrid,1,1,1,48
Replicate3,12,Control,0,0,0,48
Replicate3,12,RFP,0,0,0,48
Replicate3,12,Hybrid,0,0,0,48
Replicate3,13,Control,1,1,0,48
Replicate3,13,RFP,1,1,0,48
Replicate3,13,Hybrid,0,0,0,48
Replicate3,14,Control,0,0,0,48
Replicate3,14,RFP,1,1,1,48
Replicate3,14,Hybrid,0,0,0,48
Replicate3,Alive,Control,34,29,0,48
Replicate3,Alive,RFP,29,25,0,48
Replicate3,Alive,Hybrid,33,15,0,48
